"Age","Domestic","Foreign","Left Handed","Right Handed","InningsBatted","RunsScored","HighestInnScore","BattingAVG","BattingS/R","ValueinCR"
"31","1","0","0","1","95","2131","106","23.41","135.47","12.00"
"36","1","0","1","0","191","5784","106","34.84","126.64","8.25"
"31","0","1","0","1","62","1885","89","40.10","131.26","14.00"
"31","1","0","0","1","60","1385","93","26.13","136.31","8.50"
"20","1","0","0","1","18","222","33","15.85","146.05","4.00"
"27","0","1","0","1","6","146","42","29.20","122.68","2.60"
"21","1","0","0","1","15","205","51","14.64","110.81","0.20"
"25","0","1","1","0","29","517","75","25.85","151.17","8.50"
"21","1","0","1","0","29","884","101","31.57","125.03","7.75"
"20","1","0","1","0","13","289","50","22.23","136.32","4.00"
"30","1","0","0","1","66","1480","83","24.26","128.36","1.40"
"33","1","0","0","1","199","6283","113","37.39","129.94","15.00"
"37","0","1","0","1","93","2935","96","34.94","131.08","7.00"
"34","1","0","0","1","208","5611","109","31.17","130.39","16.00"
"31","1","0","0","1","100","2341","82","28.90","135.71","8.00"
"23","1","0","0","1","1","16","16","16.00","114.28","0.20"
"25","1","0","0","1","22","839","101","46.61","132.12","6.00"
"36","1","0","0","1","186","4722","87","27.94","130.15","2.00"
"27","1","0","0","1","87","2375","96","31.66","123.95","12.25"
"33","0","1","0","1","6","148","45","24.66","125.42","1.50"
"33","1","0","0","1","141","3941","105","31.52","121.33","1.00"
"24","1","0","1","0","8","77","30","11.00","101.31","0.55"
"22","1","0","0","1","53","1305","99","24.62","146.30","7.50"
"35","0","1","1","0","150","5449","126","41.59","139.96","6.25"
"30","1","0","0","1","92","1674","77","22.02","124.09","1.10"
"32","1","0","0","1","143","3560","114","30.68","121.83","4.60"
"28","1","0","0","1","49","1054","95","22.42","130.60","0.20"
"22","1","0","0","1","55","1417","76","31.48","123.00","8.00"
"32","0","1","1","0","86","1974","101","32.90","136.51","3.00"
"31","0","1","0","1","13","329","91","29.90","129.02","2.00"
