"Age","Domestic","Foreign","InningsBowled","Overs","RunsConceded","Wickets","BowlingAVG","EconomyRate","ValueinCR"
"26","0","1","50","190","1560","76","20.52","8.21","9.25"
"22","1","0","41","150","1117","43","25.97","7.44","5.25"
"23","1","0","23","76.1","669","30","22.30","8.78","4.00"
"27","0","1","3","11","90","1","90.00","8.18","0.75"
"28","1","0","99","366.2","2849","112","25.43","7.77","0.50"
"23","1","0","1","4","39","1","39.00","9.75","0.25"
"32","1","0","132","491.3","3588","142","25.26","7.30","4.20"
"22","1","0","3","12","96","2","48.00","8.00","4.00"
"30","1","0","24","83.3","688","20","34.40","8.23","4.00"
"21","1","0","14","52.1","491","13","37.76","9.41","4.00"
"30","0","1","2","5","57","0","0","11.40","2.40"
"28","1","0","47","155.1","1247","48","25.97","8.03","0.75"
"28","1","0","16","52","462","12","38.50","8.88","0.20"
"26","1","0","34","124.2","1152","30","38.40","9.26","10.00"
"32","0","1","62","236.1","1983","76","26.09","8.39","8.00"
"31","1","0","113","408","3097","139","22.28","7.59","6.50"
"29","1","0","28","97.4","828","17","48.70","8.47","2.60"
"34","0","1","37","139.5","1052","48","21.91","7.52","2.00"
"27","1","0","11","36","348","8","43.50","9.66","0.30"
"26","1","0","1","3.3","33","0","0","9.42","0.20"
"25","1","0","1","2","16","0","0","8.00","0.20"
"31","0","1","12","45","357","12","29.75","7.93","7.75"
"28","1","0","50","171.2","1437","50","28.74","8.38","7.00"
"31","0","1","5","19","165","5","33.00","8.68","0.75"
"31","1","0","54","197.3","1696","58","29.24","8.58","0.75"
"34","1","0","66","203.4","1610","59","27.28","7.90","0.50"
"28","1","0","106","403.4","2997","130","23.05","7.42","12.00"
"31","1","0","34","112","881","26","33.88","7.86","1.60"
"29","0","1","5","17.5","153","5","30.60","8.57","1.50"
"30","1","0","85","296","2588","85","30.44","8.74","1.30"
"25","0","1","5","17","169","4","42.25","9.94","1.00"
"24","1","0","18","53","453","16","28.31","8.54","0.65"
"28","1","0","20","70.5","694","17","40.82","9.79","0.30"
"29","1","0","63","220.4","1722","59","29.18","7.80","14.00"
"29","0","1","9","32","308","7","44.00","9.62","1.90"
"28","1","0","3","8.1","93","4","23.25","11.38","0.20"
"26","1","0","5","17","192","3","64.00","11.29","0.20"
"30","1","0","31","123","839","36","23.30","6.82","8.00"
"34","1","0","120","420.2","3579","119","30.07","8.51","2.00"
"33","0","1","43","160","1388","31","44.77","8.67","1.50"
"20","1","0","1","4","42","0","0","10.50","0.20"
"30","1","0","60","210","1867","67","27.86","8.89","10.75"
"28","0","1","24","91.2","699","34","20.55","7.65","6.50"
"24","1","0","24","90.3","786","32","24.56","8.68","5.25"
"24","1","0","14","52","426","14","30.42","8.19","4.20"
"27","1","0","43","149.2","1236","40","30.90","8.27","2.00"
"26","0","1","38","143","1121","38","29.50","7.83","2.00"
"25","0","1","14","54","448","25","17.92","8.29","0.50"
"25","1","0","25","91","749","29","25.82","8.23","10.00"
"32","0","1","1","4","49","0","0","12.25","7.50"
"21","1","0","23","87","606","24","25.25","6.96","4.00"
"32","1","0","70","235.5","1784","48","37.16","7.56","0.50"
"28","1","0","29","88.1","814","24","33.91","9.23","0.50"
"23","0","1","76","302","1912","93","20.55","6.33","15.00"
"30","0","1","22","79.5","648","24","27.00","8.11","10.00"
"31","1","0","77","278.2","2402","79","30.40","8.62","6.25"
"25","0","1","3","8.4","87","6","14.50","10.03","2.40"
"32","1","0","48","160.4","1429","42","34.02","8.89","0.50"
